Index,Ethnic Origin,Citizen Status,Religious Question,Religion Beliefs,Response,Phone,SSN
1,Tagalog,Filipino citizen,Do you believe in separation of church and state?,Roman Catholic,Yes,+639757566189,100-11-9777
2,Cebuano,Dual citizen,Do you believe in interfaith dialogue as a way to reduce conflict?,Sunni Muslim,No,+639440325731,719-62-6602
3,Ilocano,Naturalized citizen,Do you believe in faith healing as a part of medical care?,Iglesia ni Cristo,Sometimes,+639055484859,483-47-2785
4,Hiligaynon,Non-citizen resident,Do you believe in attending weekly religious services?,Protestant,Prefer not to say,+639410708473,327-93-8927
5,Bikol,Filipino citizen,Do you believe in religious education in public schools?,Aglipayan,Don't know,+639189887292,551-61-5155
6,Waray,Dual citizen,Do you believe in the right to choose your own religion?,Indigenous animist,Yes,+639586805119,246-37-7644
7,Kapampangan,Naturalized citizen,Do you believe in blessing new government programs?,Non-religious,No,+639355986886,320-54-6432
8,Pangasinan,Non-citizen resident,Do you believe in honoring indigenous spiritual practices?,Roman Catholic,Sometimes,+639344547299,263-58-8927
9,Tausug,Filipino citizen,Do you believe in environmental stewardship as a religious duty?,Sunni Muslim,Prefer not to say,+639806027519,107-44-9667
10,Maranao,Dual citizen,Do you believe in forgiveness and reconciliation in public policy?,Iglesia ni Cristo,Don't know,+639605778774,850-26-5622
11,Maguindanao,Naturalized citizen,Do you believe in separation of church and state?,Protestant,Yes,+639585141439,856-94-2358
12,Kankanaey,Non-citizen resident,Do you believe in interfaith dialogue as a way to reduce conflict?,Aglipayan,No,+639008891671,949-29-6606
13,Ifugao,Filipino citizen,Do you believe in faith healing as a part of medical care?,Indigenous animist,Sometimes,+639111279450,696-96-6419
14,Ivatan,Dual citizen,Do you believe in attending weekly religious services?,Non-religious,Prefer not to say,+639263599021,534-78-7537
15,Aklanon,Naturalized citizen,Do you believe in religious education in public schools?,Roman Catholic,Don't know,+639301461232,191-62-7309
16,Chavacano,Non-citizen resident,Do you believe in the right to choose your own religion?,Sunni Muslim,Yes,+639565829894,169-52-4749
17,Surigaonon,Filipino citizen,Do you believe in blessing new government programs?,Iglesia ni Cristo,No,+639234226762,524-15-8703
18,Ibanag,Dual citizen,Do you believe in honoring indigenous spiritual practices?,Protestant,Sometimes,+639167701296,182-58-6941
19,Yakan,Naturalized citizen,Do you believe in environmental stewardship as a religious duty?,Aglipayan,Prefer not to say,+639274982957,477-69-5955
20,Sama-Bajau,Non-citizen resident,Do you believe in forgiveness and reconciliation in public policy?,Indigenous animist,Don't know,+639025103266,174-78-5821
21,Kinaray-a,Filipino citizen,Do you believe in separation of church and state?,Non-religious,Yes,+639254255207,330-60-7551
22,Sambal,Dual citizen,Do you believe in interfaith dialogue as a way to reduce conflict?,Roman Catholic,No,+639035169271,734-26-4476
23,Ibaloi,Naturalized citizen,Do you believe in faith healing as a part of medical care?,Sunni Muslim,Sometimes,+639726937837,178-24-4362
24,Itawit,Non-citizen resident,Do you believe in attending weekly religious services?,Iglesia ni Cristo,Prefer not to say,+639689403693,648-78-7531
25,Bicolano,Filipino citizen,Do you believe in religious education in public schools?,Protestant,Don't know,+639440810109,971-43-4968
26,Tagalog,Dual citizen,Do you believe in the right to choose your own religion?,Aglipayan,Yes,+639681165998,186-81-5413
27,Cebuano,Naturalized citizen,Do you believe in blessing new government programs?,Indigenous animist,No,+639777196699,125-88-7652
28,Ilocano,Non-citizen resident,Do you believe in honoring indigenous spiritual practices?,Non-religious,Sometimes,+639818582151,527-40-2204
29,Hiligaynon,Filipino citizen,Do you believe in environmental stewardship as a religious duty?,Roman Catholic,Prefer not to say,+639763288290,111-68-7669
30,Bikol,Dual citizen,Do you believe in forgiveness and reconciliation in public policy?,Sunni Muslim,Don't know,+639637702179,601-33-4766
31,Waray,Naturalized citizen,Do you believe in separation of church and state?,Iglesia ni Cristo,Yes,+639966090345,992-35-7205
32,Kapampangan,Non-citizen resident,Do you believe in interfaith dialogue as a way to reduce conflict?,Protestant,No,+639458684690,570-41-6823
33,Pangasinan,Filipino citizen,Do you believe in faith healing as a part of medical care?,Aglipayan,Sometimes,+639650588911,313-91-4649
34,Tausug,Dual citizen,Do you believe in attending weekly religious services?,Indigenous animist,Prefer not to say,+639008301799,884-35-2401
35,Maranao,Naturalized citizen,Do you believe in religious education in public schools?,Non-religious,Don't know,+639292554060,101-75-1876
36,Maguindanao,Non-citizen resident,Do you believe in the right to choose your own religion?,Roman Catholic,Yes,+639962594094,203-84-1024
37,Kankanaey,Filipino citizen,Do you believe in blessing new government programs?,Sunni Muslim,No,+639347826766,158-52-1216
38,Ifugao,Dual citizen,Do you believe in honoring indigenous spiritual practices?,Iglesia ni Cristo,Sometimes,+639654915191,761-15-2613
